,exercise,sets,reps,weight_lbs,datetime,duration_minutes
317,SnatchPress,4,10,65,2019-10-08T14:45:00,75.0
318,FrontSquat,3,10,75,2019-10-10T10:15:00,75.0
319,ShoulderPress,3,10,75,2019-10-10T10:15:00,75.0
320,BackSquat,5,10,105,2019-10-30T13:25:00,80.0
321,BenchPress,5,10,105,2019-10-30T13:25:00,80.0
322,OverheadSquat,1,10,65,2019-11-01T11:00:00,90.0
323,OverheadSquat,1,10,75,2019-11-01T11:00:00,90.0
324,OverheadSquat,1,10,85,2019-11-01T11:00:00,90.0
325,FrontSquat,5,10,75,2019-10-31T22:50:00,80.0
326,ShoulderPress,5,10,75,2019-10-31T22:50:00,80.0
327,FrontSquat,3,10,85,2019-11-02T11:08:00,87.0
328,BackSquat,5,10,105,2019-11-05T09:40:00,55.0
329,BenchPress,5,10,105,2019-11-05T09:40:00,55.0
330,FrontSquat,5,10,75,2019-11-06T10:40:00,85.0
331,ShoulderPress,5,10,75,2019-11-06T10:40:00,85.0
332,BackSquat,5,10,105,2019-11-12T13:45:00,90.0
333,BenchPress,5,10,105,2019-11-12T13:45:00,90.0
334,ShoulderPress,5,10,75,2019-11-13T15:45:00,75.0
335,FrontSquat,5,10,75,2019-11-13T15:45:00,75.0
336,SnatchPress,1,10,65,2019-11-15T11:35:00,123.0
337,SnatchPress,1,10,75,2019-11-15T11:35:00,123.0
338,SnatchPress,1,10,85,2019-11-15T11:35:00,123.0
339,OverheadSquat,1,10,65,2019-11-15T11:35:00,123.0
340,OverheadSquat,1,10,75,2019-11-15T11:35:00,123.0
341,OverheadSquat,1,10,85,2019-11-15T11:35:00,123.0
342,BackSquat,5,10,115,2019-11-18T11:46:00,74.0
343,OverheadSquat,1,10,75,2019-11-20T10:50:00,75.0
344,OverheadSquat,1,10,85,2019-11-20T10:50:00,75.0
345,OverheadSquat,1,10,95,2019-11-20T10:50:00,75.0
346,ShoulderPress,5,10,85,2019-11-21T18:15:00,64.0
